PSMD3	PSMC5
PSMD3	PSMC6
PSMD3	PSMD11
PTBP1	FUS
PTBP1	HNRNPK
PTK2	ATG12
PTK2	BCAR1
PTK2	CRK
PTK2	DCC
PTK2	FGR
PTK2	GRB2
PTK2	GRIN1
PTK2	IRS1
PTK2	JAK2
PTK2	KCNMA1
PTK2	PIAS1
PTK2	PIK3R1
PTPN6	CLEC4A
PTPN6	CTNND1
PTPN6	ESR1
PTPN6	FLT3
PTPN6	GRB2
PTPN6	JAK2
PTPN6	PDCD1
PTPN6	PIK3R1
PTPRA	BCAR1
PTPRA	GRB2
PTPRS	CHD3
PTPRS	KAT5
PTPRS	PTPRA
PUF60	CHD3
RAB1A	CREB1
RAB1B	MICALCL
RAB8A	BIRC6
RABGEF1	GGA1
RAC2	PLCG2
RANBP2	KIF5C
RANBP2	NXF1
RANBP9	DYRK1B
RANBP9	ITGAL
RANBP9	MET
RANBP9	MPHOSPH8
RAP1GAP	MEX3B
RAPGEF1	BCAR1
RAPGEF1	CRK
RAPGEF1	GRB2
RARA	CREBBP
RARA	EP300
RARA	ESR1
RARA	FOXO1
RARA	GADD45G
RARA	GATA2
RARA	MBD1
RARA	MED1
RARA	MED25
RARA	NCOA1
RARA	NCOR1
RARA	NSD1
RARA	PSMC5
RBBP6	CD81
RBBP6	GRB2
RBBP6	NCOA1
RBL1	BRCA1
RBL1	DHX30
RBL1	E2F3
RBL1	E2F4
RBM14	EP300
RBM23	ESR1
RBM39	ESR1
RBM39	RBM23
RBM4	DDX5
RBM4	HNRNPK
RBM4	HNRNPM
RBM4	RBM23
RBPJ	NCOR1
RDX	PLEK
RERE	ATN1
RHOA	ARHGEF1
RHOA	PRKCZ
RHOB	ARHGEF1
RIC8A	GNAS
RNF31	ATN1
ROBO2	ROBO1
RORB	NCOA1
RPL21	HNRNPA1
RPL26	NAA15
RPS6KA2	CREB1
RUNX1T1	ATN1
RUNX1T1	HSP90AA1
RUNX1T1	NCOR1
SAT1	B4GALT3
SAT1	CHD3
SAT1	DNPEP
SAT1	KAT5
SAT1	RBM17
SENP3	EP300
SETD1A	ASH2L
SETD2	CIC
SETD2	POLR2A
SF1	ESR1
SF1	FUS
SF1	HNRNPK
SF1	RBM17
SF1	RBM4
SF3A1	SF1
SF3A2	ACIN1
SF3A2	CIRBP
SF3A2	DDX46
SF3A2	DDX5
SF3A2	FUS
SF3A2	HMG20B
SF3A2	HNRNPK
SF3A2	NCBP2
SF3A2	PLRG1
SF3A2	PPP1CA
SF3A2	PRPF19
SF3A2	PRPF8
SF3A2	PUF60
SF3A2	RBM17
SF3A2	RBM39
SF3A2	SART1
SF3A2	SF1
SF3A2	SF3A1
SF3B2	PRPF8
SF3B2	SF3A2
SGK1	CREB1
SGK1	FOXO3
SIN3B	IKZF1
SIN3B	MORF4L1
SKI	NCOR1
SKI	RARA
SKI	RNF111
SLC4A2	CA2
SLC9A1	CA2
SLC9A1	MAPK14
SLCO3A1	PDZD3
SLIT2	ROBO1
SLIT2	ROBO2
SLU7	PPIG
SLU7	PRPF8
SLU7	SF3B2
SMAD6	BMPR1B
SMAD6	RNF111
SMARCA4	ARID1A
SMARCA4	ARID2
SMARCA4	BRCA1
SMARCA4	CARM1
SMARCA4	CHD4
SMARCA4	CIITA
SMARCA4	CREB1
SMARCA4	CREBBP
SMARCA4	DPF2
SMARCA4	DPF3
SMARCA4	ESR1
SMARCA4	H3F3B
SMARCA4	IKZF1
SMARCA4	MMP2
SMARCA4	MYEF2
SMARCA4	NCOA1
SMARCA4	NCOR1
SMARCA4	POLR2A
SMARCD3	ESR1
SMARCD3	PBX1
SMARCD3	SMARCA4
SMARCE1	ARID1A
SMARCE1	ARID2
SMARCE1	CARM1
SMARCE1	DPF2
SMARCE1	ESR1
SMARCE1	NCOA1
SMARCE1	SMARCA4
SMARCE1	SMARCD3
SNRPB	SF3A2
SNRPC	RBM4
SNRPC	SF3A2
SNRPC	SNRPB
SOX6	CTBP2
SOX6	SOX5
SOX9	CREB1
SOX9	CREBBP
SOX9	EP300
SRCAP	CARM1
SRCAP	CREBBP
SRCAP	EP300
SRCAP	KAT5
SRRM1	FUS
SRRM1	NXF1
SRRM1	SF3A2
SSR1	NUP54
STAT6	CREBBP
STAT6	EP300
STAT6	NCOA1
STAT6	PRKCZ
STAT6	PTPN6
STIM2	STIM1
STK11	MARK4
STK11	SMARCA4
STK11	SNRK
STK16	KCTD17
STK3	SLMAP
SUMO1	AURKB
SUMO1	BRCA1
SUMO1	CHD3
SUMO1	EPAS1
SUMO1	ETV6
SUMO1	HSF2
SUMO1	IRAK1
SUMO1	MDM4
SUMO1	NCOA1
SUMO1	NFKBIA
SUMO1	PDGFC
SUMO1	PIAS1
SUMO1	RANBP2
SUMO1	RARA
SUMO1	SOX6
SUMO3	BRCA1
SUMO3	HSF2
SUMO3	PIAS1
SUMO3	RANBP2
SUMO3	SOX6
SUPT6H	IWS1
SUPT6H	POLR2A
SUV420H2	RBL1
SYK	ARHGEF7
SYK	DUSP3
SYK	FGR
SYK	GRB2
SYK	NFAM1
SYK	PIK3R1
SYK	PLCG2
SYK	PTK2
SYK	PTPN6
SYNJ1	GRB2
SYTL1	NRXN1
SYTL1	RAB27B
TADA2A	HGS
TAF10	ATXN7L3
TAF10	ESR1
TAF10	POLR2A
TAF10	PSMC5
TAF10	SMARCA4
TAF15	SF1
TBP	CREBBP
TBP	CREM
TBP	EP300
TBP	ESR1
TBP	GTF2F1
TBP	HNRNPK
TBP	IKZF1
TBP	NCOA1
TBP	PAX5
TBP	PIAS1
TBP	POLR2A
TBP	POU2F2
TBP	TAF10
TBP	TAF15
TCEB1	ASB8
TCEB1	RAB40B
TCEB1	SPSB4
TCF3	AEBP1
TCF3	CREBBP
TCF3	DNMT1
TCF3	EP300
TCF3	LMX1B
TCF3	LYL1
TCF3	NCOR1
TCF3	RUNX1T1
TCF4	EP300
TCF4	HBP1
TCF4	RUNX1T1
TCF7L2	AXIN2
TCF7L2	CREBBP
TCF7L2	CTBP1
TCF7L2	EP300
TDP1	LIG3
TERT	HSP90AA1
TFAP2A	EP300
TGFBR1	ANAPC5
TGFBR1	ASH2L
TGFBR1	AURKB
TGFBR1	BMPR1B
TGFBR1	CDC42EP4
TGFBR1	DAPK2
TGFBR1	ENC1
TGFBR1	PIK3R1
TGFBR1	PLEK
TGFBR1	RAB34
TGFBR1	RHOA
TGFBR1	SAMD8
TGFBR1	SMAD6
TGOLN2	AP2M1
TGOLN2	FURIN
THRB	BRD8
THRB	CAMK2B
THRB	ESR1
THRB	FOXO1
THRB	JMJD1C
THRB	MED1
THRB	NCOA1
THRB	NCOR1
THRB	PSMC5
THRB	RARA
TLE4	PAX5
TLR3	PIK3R1
TNFSF13B	TNFRSF13C
TNPO2	NXF1
TP53	AURKB
TP53	BANP
TP53	BRCA1
TP53	BTRC
TP53	CARM1
TP53	CCDC106
TP53	CCNG1
TP53	CHD3
TP53	CREB1
TP53	CREBBP
TP53	CTBP1
TP53	DDX5
TP53	DNMT1
TP53	EEF2
TP53	EHMT1
TP53	EIF2S2
TP53	ELL
TP53	EP300
TP53	ESR1
TP53	FBXO11
TP53	FOXO1
TP53	FOXO3
TP53	GPS2
TP53	HMGB2
TP53	HNRNPK
TP53	HSP90AA1
TP53	HSPA9
TP53	KAT5
TP53	KLF4
TP53	MAPK10
TP53	MAPK14
TP53	MDM4
TP53	MED1
TP53	NCOA1
TP53	NCOR1
TP53	NFKBIA
TP53	NMT1
TP53	PIAS1
TP53	PPP1CA
TP53	PSMD11
TP53	PTK2
TP53	RANBP2
TP53	RPL26
TP53	RPS7
TP53	SAT1
TP53	SENP3
TP53	SETD2
TP53	SETD8
TP53	SIN3B
TP53	SMARCA4
TP53	SOX4
TP53	STK11
TP53	SUMO1
TP53	SUMO3
TP53	TBP
TP53	TFAP2A
TP53	TFAP2C
TP53	THRB
TP63	EP300
TP63	GRB2
TP63	TP53
TPT1	TP53
TRAF2	ABLIM1
TRAF2	AFF4
TRAF2	BANP
TRAF2	BCL10
TRAF2	CD40
TRAF2	CDKN1B
TRAF2	DTNB
TRAF2	FAM120B
TRAF2	LTBR
TRAF2	LZTS2
TRAF2	MAP3K8
TRAF2	NR2C2
TRAF2	RIBC2
TRAF2	SETD5
TRAF2	SOX9
TRAF2	TANK
TRAF2	TNFSF4
TREML1	PTPN6
TRIAP1	TP53
TRIM24	ESR1
TRIM24	NR3C2
TRIM24	RARA
TRIM24	SUMO1
TRIM24	TP53
TRIP13	KRTAP3-2
TRIP13	LASP1
TRIP13	THRB
TSC2	CDKN1B
TSC2	ESR1
TSC2	FOXO1
TSC2	PTK2
TSHR	GNAS
TSHR	JAK2
TSHR	PIK3R1
TTBK1	CDK5R1
TUBB3	ARHGEF7
TUBB3	ROBO1
U2AF2	HNRNPK
U2AF2	PUF60
U2AF2	RBM39
U2AF2	RBM4
U2AF2	SF1
U2AF2	SF3A2
UBA52	BMPR1B
UBA52	HGS
UBA52	POLI
UBA52	TGFBR1
UBE2I	BRCA1
UBE2I	CHD3
UBE2I	EP300
UBE2I	ESR1
UBE2I	ETV6
UBE2I	HGS
UBE2I	HNRNPK
UBE2I	HSF2
UBE2I	IKZF1
UBE2I	PIAS1
UBE2I	RANBP2
UBE2I	RORB
UBE2I	SOX4
UBE2I	SUMO1
UBE2I	SUMO3
UBE2I	TCF3
UBE2I	TFAP2B
UBE2I	TFAP2C
UBE2I	TP53
UBE2V2	BCL10
UBE3A	BRCA1
UBE3A	CDKN1B
UBE3A	ESR1
UBE3A	RARA
UBE3A	TP53
UBE3A	TSC2
UBE4B	ATXN3
UBL4A	FAF2
UBL4A	NPLOC4
UBR5	DDB1
USF2	BRCA1
USF2	EP300
USP28	FBXW7
VAMP2	STX2
VEGFA	CREBBP
VEGFA	EP300
VEGFA	EPAS1
VPS18	VPS16
VPS28	UBA52
VPS37C	HGS
VPS37C	VPS28
WAPAL	RAD21
WBP11	DDX5
WBP11	PIK3R1
WBP11	PPP1CA
WBP11	RUNX1T1
WBP11	SF3A2
WDR48	BRCA1
WEE1	BRD8
WEE1	BRSK1
WEE1	BTRC
WEE1	CRK
WIZ	CTBP1
WIZ	EHMT1
WNK1	SGK1
WWOX	TP53
XPO1	AGFG1
XPO1	CDKN1B
XPO1	CIITA
XPO1	CRK
XPO1	ESR1
XPO1	RANBP2
XPO1	RANBP3
XPO1	TERT
XPO1	TP53
YBX1	FBXO33
YBX1	FUS
YBX1	HNRNPK
YBX1	RBBP6
YBX1	SF3A2
YBX1	TFAP2A
YBX1	TP53
YBX1	VEGFA
ZEB1	CTBP1
ZEB1	CTBP2
ZEB1	EP300
ZEB1	KAT5
ZFAND6	CDC34
ZFAND6	TRAF2
ZFP36	DCP2
ZFP36L1	MAPK14
ZNF24	KAT5
ZNF24	TP53
ZNF366	CTBP1
ZRANB2	EP300
ZRSR2	U2AF2
ZYX	BCAR1
ZYX	ENAH
ZYX	LASP1
ZYX	NEBL
