Target	Source
GATA2	AKT1
GATA2	CREBBP
GATA4	FOS
GATA5	BIRC2
GBF1	ARHGEF1
GBF1	COPB1
GCM1	CREBBP
GCN1L1	CDC5L
GDF5	BMPR1A
GDF5	BMPR1B
GFRA3	ARTN
GIT1	ADRBK1
GIT1	CHD3
GLI3	CREBBP
GMEB1	ATF7IP
GMEB1	CREBBP
GNA12	ARHGEF1
GNA12	ARHGEF11
GNA12	ARHGEF12
GNA12	F2R
GNA13	ARHGEF1
GNA13	ARHGEF11
GNA13	ARHGEF12
GNA13	CTNNB1
GNA13	F2R
GNA13	GNA12
GNAO1	CACNA1B
GNAO1	DCTN2
GNAS	ADCY2
GNAS	ADCY5
GNAS	ADCY6
GNB1	ARHGEF18
GNB1	CACNA1A
GNB1	CACNA1B
GNB1	CACNA1C
GNB1	GNA12
GORASP2	CBLB
GPHN	ENAH
GRASP	CYTH3
GRASP	GABBR2
GRB10	ABL1
GRB10	AKT1
GRB10	BCR
GRB10	DOK1
GRB10	EGFR
GRB10	ELK1
GRB14	EGFR
GRB14	FGFR1
GRIA1	CAMK2G
GRIA1	EPB41L1
GRIA2	GRIA1
GRIA3	GRIA2
GRIA4	ACTN1
GRIA4	CAMK2G
GRIA4	EPB41L1
GRIA4	GRIA1
GRID1	DLG2
GRIK2	CTNNB1
GRIK2	GRIA1
GRIK2	GRIA2
GRIK5	GRIK2
GRIN1	ACTN2
GRIN1	CAMK2A
GRIN1	CD44
GRIN1	CIT
GRIN1	CTNNB1
GRIN1	DLG2
GRIN1	EGFR
GRIN1	FUS
GRIN2A	ACTN1
GRIN2A	CAMK2A
GRIN2A	CAMK2B
GRIN2A	DLG2
GRIN2A	DLGAP1
GRIN2A	GRIN1
GRIN2B	ACTN2
GRIN2B	CAMK2A
GRIN2B	CAMK2B
GRIN2B	CAMK2D
GRIN2B	CAMK2G
GRIN2B	DLG2
GRIN2B	GRIN1
GRIN3A	GRIN1
GRIN3A	GRIN2A
GRIN3A	GRIN2B
GRK5	GIT1
GRM3	GRASP
GRM6	GNAO1
GSPT1	BIRC2
GTF2A1	BCL3
GTF2A1	CSNK2A1
GTF3C1	FGFR3
GTF3C2	GTF3C1
GTF3C3	BRF1
GTF3C3	GTF3C2
H2AFY	ERBB2
HABP4	CHD3
HABP4	DAXX
HCFC1	ASH2L
HCFC1	BAP1
HCFC1	GABPB1
HCN2	HCN1
HCN4	HCN2
HDAC2	ANTXR1
HDAC2	ARID4A
HDAC2	ARID4B
HDAC2	BCL11B
HDAC2	BCL6
HDAC2	CBFA2T3
HDAC2	CBX7
HDAC2	CDC20
HDAC2	CDYL
HDAC2	CHD3
HDAC2	CHD4
HDAC2	CIITA
HDAC2	CIR1
HDAC2	CREB1
HDAC2	CREBBP
HDAC2	CSNK2A1
HDAC2	CTBP1
HDAC2	CTBP2
HDAC2	DAXX
HDAC2	DMAP1
HDAC2	DNMT1
HDAC2	DNMT3B
HDAC2	EED
HDAC2	GATA4
HDAC2	GTF2I
HDAC2	H2AFY
HDAC4	ANKRD11
HDAC4	ATRX
HDAC4	BCL6
HDAC4	CAMK2D
HDAC4	CAMK4
HDAC4	CIITA
HDAC4	GATA1
HDAC4	GCM1
HDAC5	ANKRD11
HDAC5	BCL6
